trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.99, 'e': 0.5582661385478637}",35,8,-128.97043341620193,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 2}",1
60,False,"{'a': 0.99, 'e': 0.5526834771623851}",25,15,2.191388879497201,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.99, 'e': 0.5471566423907612}",20,0,-28.823140025331202,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
62,False,"{'a': 0.99, 'e': 0.5416850759668536}",20,0,-46.46837284189972,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",1
63,False,"{'a': 0.99, 'e': 0.536268225207185}",25,0,-117.51859691963043,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
64,False,"{'a': 0.99, 'e': 0.5309055429551132}",30,15,-9.797001386266222,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
65,False,"{'a': 0.99, 'e': 0.525596487525562}",20,16,5.365845138683426,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.99, 'e': 0.5203405226503064}",20,0,-29.868143463550744,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
67,False,"{'a': 0.99, 'e': 0.5151371174238033}",20,0,-39.50065295313387,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",1
68,False,"{'a': 0.99, 'e': 0.5099857462495653}",20,0,-36.67175310183294,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
69,False,"{'a': 0.99, 'e': 0.5048858887870696}",30,0,-105.04611506651356,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
70,False,"{'a': 0.99, 'e': 0.4998370298991989}",20,0,-27.352742870665267,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
71,False,"{'a': 0.99, 'e': 0.49483865960020695}",35,10,4.936347563290876,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",1
72,False,"{'a': 0.99, 'e': 0.4898902730042049}",20,0,-53.795029197243124,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
73,False,"{'a': 0.99, 'e': 0.48499137027416284}",20,6,24.2375961480772,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.99, 'e': 0.4801414565714212}",25,0,-28.59844344611725,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
75,False,"{'a': 0.99, 'e': 0.47534004200570695}",25,20,10.146944912191627,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.99, 'e': 0.4705866415856499}",30,7,13.967912404900055,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.99, 'e': 0.46588077516979337}",20,0,-31.713669112409523,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",1
78,False,"{'a': 0.99, 'e': 0.46122196741809546}",20,0,-21.71126057923163,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
79,False,"{'a': 0.99, 'e': 0.4566097477439145}",25,0,-100.17383089963513,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
80,False,"{'a': 0.99, 'e': 0.45204365026647536}",35,6,-47.71037579044306,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 1}",1
81,False,"{'a': 0.99, 'e': 0.4475232137638106}",20,6,-77.49203156563333,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
82,False,"{'a': 0.99, 'e': 0.4430479816261725}",20,0,-38.35893011858002,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
83,False,"{'a': 0.99, 'e': 0.43861750180991077}",20,10,17.606668832289525,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
